Name,Email,Age,City,Purchase_Amount
User0113,user0113@example.com,75,New York,398.31
User0114,user0114@example.com,24,Chicago,371.40
User0115,user0115@example.com,35,New York,41.31
User0116,user0116@example.com,47,Los Angeles,71.70
User0117,user0117@example.com,74,Philadelphia,394.34
User0118,user0118@example.com,64,New York,60.40
User0119,user0119@example.com,18,Houston,209.92
User0120,user0120@example.com,60,Chicago,274.70
User0121,user0121@example.com,38,Philadelphia,11.41
User0122,user0122@example.com,18,Chicago,224.29
User0123,user0123@example.com,23,New York,306.75
User0124,user0124@example.com,60,New York,308.94
User0125,user0125@example.com,35,Houston,24.64
User0126,user0126@example.com,59,Chicago,309.52
User0127,user0127@example.com,67,Chicago,25.92
User0128,user0128@example.com,45,New York,137.27
User0129,user0129@example.com,64,Houston,91.14
User0130,user0130@example.com,60,Phoenix,474.50
User0131,user0131@example.com,68,Los Angeles,286.61
User0132,user0132@example.com,24,New York,213.59
User0133,user0133@example.com,51,Philadelphia,294.84
User0134,user0134@example.com,67,Chicago,395.34
User0135,user0135@example.com,49,Chicago,141.24
User0136,user0136@example.com,34,Los Angeles,299.33
User0137,user0137@example.com,33,Los Angeles,25.54
User0138,user0138@example.com,25,Phoenix,210.11
User0139,user0139@example.com,41,Philadelphia,272.70
User0140,user0140@example.com,36,Philadelphia,359.57
User0141,user0141@example.com,43,Chicago,229.09
User0142,user0142@example.com,26,New York,208.66
User0143,user0143@example.com,21,Chicago,407.58
User0144,user0144@example.com,66,Chicago,125.49
User0145,user0145@example.com,51,New York,422.25
User0146,user0146@example.com,70,Chicago,237.27
User0147,user0147@example.com,32,Philadelphia,28.35
User0148,user0148@example.com,54,Los Angeles,404.64
User0149,user0149@example.com,31,Chicago,420.76
User0150,user0150@example.com,53,Philadelphia,411.34
User0151,user0151@example.com,58,New York,39.02
User0152,user0152@example.com,40,Los Angeles,363.89
User0153,user0153@example.com,22,Philadelphia,125.67
User0154,user0154@example.com,53,New York,265.83
User0155,user0155@example.com,62,Philadelphia,163.60
User0156,user0156@example.com,20,Los Angeles,320.47
User0157,user0157@example.com,28,Chicago,465.32
User0158,user0158@example.com,27,Phoenix,61.32
User0159,user0159@example.com,57,Phoenix,494.11
User0160,user0160@example.com,43,Chicago,68.30
User0161,user0161@example.com,51,Los Angeles,341.23
User0162,user0162@example.com,25,Houston,194.42
User0163,user0163@example.com,38,New York,486.77
User0164,user0164@example.com,19,Chicago,256.73
User0165,user0165@example.com,52,Phoenix,241.11
User0166,user0166@example.com,27,Phoenix,268.97
User0167,user0167@example.com,73,Phoenix,176.32
User0168,user0168@example.com,24,Phoenix,12.01
User0169,user0169@example.com,46,New York,222.51
User0170,user0170@example.com,71,Philadelphia,400.59
User0171,user0171@example.com,40,Phoenix,293.08
User0172,user0172@example.com,39,Philadelphia,354.64
User0173,user0173@example.com,27,Phoenix,51.68
User0174,user0174@example.com,64,New York,414.21
User0175,user0175@example.com,32,Phoenix,381.73
User0176,user0176@example.com,19,Chicago,89.50
User0177,user0177@example.com,55,Phoenix,97.96
User0178,user0178@example.com,51,Philadelphia,49.04
User0179,user0179@example.com,23,New York,98.67
User0180,user0180@example.com,57,Houston,151.46
User0181,user0181@example.com,39,New York,193.98
User0182,user0182@example.com,38,Phoenix,267.21
User0183,user0183@example.com,21,Los Angeles,328.81
User0184,user0184@example.com,52,Chicago,495.67
User0185,user0185@example.com,47,Houston,20.31
User0186,user0186@example.com,48,New York,159.79
User0187,user0187@example.com,62,Houston,373.18
User0188,user0188@example.com,64,Philadelphia,444.04
User0189,user0189@example.com,33,Los Angeles,29.67
User0190,user0190@example.com,70,Philadelphia,66.75
User0191,user0191@example.com,49,Los Angeles,344.76
User0192,user0192@example.com,63,Houston,53.82
User0193,user0193@example.com,60,Houston,376.27
User0194,user0194@example.com,53,Chicago,56.21
User0195,user0195@example.com,18,Philadelphia,374.88
User0196,user0196@example.com,59,New York,141.86
User0197,user0197@example.com,70,Houston,484.74
User0198,user0198@example.com,42,Phoenix,396.03
User0199,user0199@example.com,50,Los Angeles,224.92
User0200,user0200@example.com,35,Houston,481.52
User0201,user0201@example.com,51,Philadelphia,240.99
User0202,user0202@example.com,64,Phoenix,430.84
User0203,user0203@example.com,28,Phoenix,476.93
User0204,user0204@example.com,61,Houston,390.53
User0205,user0205@example.com,27,Phoenix,492.48
User0206,user0206@example.com,39,New York,63.06
User0207,user0207@example.com,61,Philadelphia,302.65
User0208,user0208@example.com,51,Chicago,153.44
User0209,user0209@example.com,27,Phoenix,238.05
User0210,user0210@example.com,24,New York,78.29
User0211,user0211@example.com,34,Philadelphia,306.13
User0212,user0212@example.com,75,Philadelphia,132.32
User0213,user0213@example.com,71,New York,108.72
User0214,user0214@example.com,18,Philadelphia,225.77
User0215,user0215@example.com,25,Los Angeles,97.15
User0216,user0216@example.com,38,Chicago,388.95
User0217,user0217@example.com,39,Los Angeles,353.37
User0218,user0218@example.com,21,Los Angeles,168.98
User0219,user0219@example.com,52,Los Angeles,164.30
User0220,user0220@example.com,25,Los Angeles,417.43
User0221,user0221@example.com,39,Phoenix,234.12
User0222,user0222@example.com,73,Philadelphia,355.21
User0223,user0223@example.com,55,Los Angeles,340.37
User0224,user0224@example.com,75,Los Angeles,102.53
User0225,user0225@example.com,53,Chicago,174.55
User0226,user0226@example.com,55,Los Angeles,205.80
User0227,user0227@example.com,52,Phoenix,54.06
User0228,user0228@example.com,45,Chicago,48.80
User0229,user0229@example.com,62,Phoenix,444.14
User0230,user0230@example.com,30,Philadelphia,397.08
User0231,user0231@example.com,56,Los Angeles,424.97
User0232,user0232@example.com,50,Phoenix,223.13
User0233,user0233@example.com,60,Phoenix,110.15
User0234,user0234@example.com,62,Houston,370.00
User0235,user0235@example.com,25,New York,71.17
User0236,user0236@example.com,71,Phoenix,180.96
User0237,user0237@example.com,30,Chicago,117.28
User0238,user0238@example.com,48,Houston,290.31
User0239,user0239@example.com,75,New York,222.66
User0240,user0240@example.com,31,Houston,34.16
User0241,user0241@example.com,51,New York,101.01
User0242,user0242@example.com,74,Phoenix,248.13
User0243,user0243@example.com,66,Chicago,455.59
User0244,user0244@example.com,32,Philadelphia,197.24
User0245,user0245@example.com,61,Phoenix,290.02
User0246,user0246@example.com,36,Los Angeles,73.79
User0247,user0247@example.com,40,New York,315.42
User0248,user0248@example.com,38,Phoenix,489.33
User0249,user0249@example.com,44,Houston,341.41
User0250,user0250@example.com,48,Chicago,78.67
User0251,user0251@example.com,50,Philadelphia,479.89
User0252,user0252@example.com,70,New York,196.78
User0253,user0253@example.com,46,Phoenix,180.78
User0254,user0254@example.com,48,New York,382.69
User0255,user0255@example.com,73,Philadelphia,492.20
User0256,user0256@example.com,27,Philadelphia,379.11
User0257,user0257@example.com,64,Houston,475.29
User0258,user0258@example.com,68,New York,115.45
User0259,user0259@example.com,23,Los Angeles,73.13
User0260,user0260@example.com,18,Los Angeles,119.05
User0261,user0261@example.com,52,Philadelphia,336.22
User0262,user0262@example.com,22,Los Angeles,278.49
User0263,user0263@example.com,39,New York,87.39
User0264,user0264@example.com,65,New York,30.11
User0265,user0265@example.com,69,Chicago,360.84
User0266,user0266@example.com,21,Los Angeles,386.44
User0267,user0267@example.com,48,Houston,196.66
User0268,user0268@example.com,35,Philadelphia,51.32
User0269,user0269@example.com,35,Houston,276.06
User0270,user0270@example.com,51,Philadelphia,162.06
User0271,user0271@example.com,58,Philadelphia,33.80
User0272,user0272@example.com,49,Los Angeles,216.61
User0273,user0273@example.com,32,Philadelphia,105.36
User0274,user0274@example.com,56,Philadelphia,189.41
User0275,user0275@example.com,63,Los Angeles,153.20
User0276,user0276@example.com,29,Phoenix,246.94
User0277,user0277@example.com,67,Los Angeles,387.88
User0278,user0278@example.com,27,Chicago,63.74
User0279,user0279@example.com,26,Philadelphia,109.68
User0280,user0280@example.com,52,Philadelphia,397.23
User0281,user0281@example.com,38,Houston,48.99
User0282,user0282@example.com,51,Philadelphia,247.57
User0283,user0283@example.com,38,Houston,307.35
User0284,user0284@example.com,40,Houston,450.98
User0285,user0285@example.com,48,Phoenix,14.13
User0286,user0286@example.com,29,Los Angeles,419.60
User0287,user0287@example.com,43,Phoenix,263.02
User0288,user0288@example.com,68,Houston,168.11
User0289,user0289@example.com,57,Chicago,12.38
User0290,user0290@example.com,44,New York,258.00
User0291,user0291@example.com,46,Philadelphia,169.37
User0292,user0292@example.com,23,Phoenix,371.68
User0293,user0293@example.com,68,Los Angeles,431.10
User0294,user0294@example.com,31,Chicago,409.16
User0295,user0295@example.com,22,Philadelphia,163.40
User0296,user0296@example.com,44,Houston,452.59
User0297,user0297@example.com,52,New York,183.40
User0298,user0298@example.com,55,New York,10.60
User0299,user0299@example.com,32,Phoenix,239.58
User0300,user0300@example.com,18,Chicago,126.89
User0301,user0301@example.com,58,Phoenix,176.24
User0302,user0302@example.com,62,New York,380.15
User0303,user0303@example.com,53,Phoenix,342.72
User0304,user0304@example.com,66,Phoenix,263.59
User0305,user0305@example.com,23,Los Angeles,204.41
User0306,user0306@example.com,28,Los Angeles,95.82
User0307,user0307@example.com,35,Phoenix,205.65
User0308,user0308@example.com,26,New York,488.21
User0309,user0309@example.com,58,Los Angeles,386.99
User0310,user0310@example.com,21,New York,127.33
User0311,user0311@example.com,64,Phoenix,102.06
User0312,user0312@example.com,72,Chicago,183.86
User0313,user0313@example.com,36,Philadelphia,63.35
User0314,user0314@example.com,61,Chicago,414.98
User0315,user0315@example.com,73,New York,111.36
User0316,user0316@example.com,45,Chicago,93.30
User0317,user0317@example.com,69,Los Angeles,75.32
User0318,user0318@example.com,49,New York,381.52
User0319,user0319@example.com,64,Phoenix,24.90
User0320,user0320@example.com,55,Chicago,447.69
User0321,user0321@example.com,51,Houston,465.11
User0322,user0322@example.com,43,Phoenix,10.94
User0323,user0323@example.com,59,Los Angeles,461.57
User0324,user0324@example.com,59,Houston,405.99
User0325,user0325@example.com,66,New York,79.97
User0326,user0326@example.com,68,Los Angeles,124.11
User0327,user0327@example.com,74,Chicago,164.68
User0328,user0328@example.com,48,Los Angeles,296.04
User0329,user0329@example.com,43,Philadelphia,402.10
User0330,user0330@example.com,48,Houston,257.03
User0331,user0331@example.com,56,Phoenix,75.94
User0332,user0332@example.com,52,Chicago,139.18
User0333,user0333@example.com,48,Philadelphia,352.18
User0334,user0334@example.com,72,Phoenix,328.52
User0335,user0335@example.com,19,Los Angeles,90.05
User0336,user0336@example.com,58,New York,138.93
User0337,user0337@example.com,34,Phoenix,34.14
User0338,user0338@example.com,64,Houston,490.19
User0339,user0339@example.com,67,Philadelphia,147.97
User0340,user0340@example.com,20,Phoenix,169.90
User0341,user0341@example.com,51,Chicago,411.10
User0342,user0342@example.com,30,Los Angeles,492.98
User0343,user0343@example.com,52,Philadelphia,408.32
User0344,user0344@example.com,58,Chicago,65.31
User0345,user0345@example.com,56,Phoenix,481.39
User0346,user0346@example.com,65,Philadelphia,232.53
User0347,user0347@example.com,64,Houston,90.77
User0348,user0348@example.com,28,Philadelphia,251.50
User0349,user0349@example.com,29,Houston,145.02
User0350,user0350@example.com,44,Chicago,98.70
User0351,user0351@example.com,66,Houston,391.59
User0352,user0352@example.com,33,Philadelphia,181.86
User0353,user0353@example.com,58,Chicago,286.18
User0354,user0354@example.com,68,Houston,180.86
User0355,user0355@example.com,31,Houston,299.74
User0356,user0356@example.com,67,Chicago,70.71
User0357,user0357@example.com,29,New York,495.36
User0358,user0358@example.com,33,Houston,318.20
User0359,user0359@example.com,52,Phoenix,324.56
User0360,user0360@example.com,66,Los Angeles,82.43
User0361,user0361@example.com,39,New York,297.57
User0362,user0362@example.com,48,Houston,142.48
User0363,user0363@example.com,43,New York,68.38
User0364,user0364@example.com,44,New York,343.06
User0365,user0365@example.com,70,Phoenix,432.31
User0366,user0366@example.com,50,Chicago,29.54
User0367,user0367@example.com,61,Los Angeles,286.95
User0368,user0368@example.com,18,Phoenix,108.75
User0369,user0369@example.com,51,Phoenix,117.34
User0370,user0370@example.com,53,New York,229.43
User0371,user0371@example.com,61,Los Angeles,98.86
User0372,user0372@example.com,28,Houston,234.24
User0373,user0373@example.com,27,Philadelphia,105.11
User0374,user0374@example.com,24,Philadelphia,338.51
User0375,user0375@example.com,20,New York,212.31
User0376,user0376@example.com,74,Chicago,474.15
User0377,user0377@example.com,25,Phoenix,64.08
User0378,user0378@example.com,54,Philadelphia,24.67
User0379,user0379@example.com,59,Phoenix,342.34
User0380,user0380@example.com,44,Houston,16.15
User0381,user0381@example.com,71,New York,479.45
User0382,user0382@example.com,57,New York,278.49
User0383,user0383@example.com,55,Los Angeles,122.44
User0384,user0384@example.com,21,Houston,185.10
User0385,user0385@example.com,67,Philadelphia,323.64
User0386,user0386@example.com,65,Chicago,153.15
User0387,user0387@example.com,66,Los Angeles,66.36
User0388,user0388@example.com,52,Los Angeles,269.81
User0389,user0389@example.com,24,Phoenix,291.30
User0390,user0390@example.com,72,Phoenix,214.55
User0391,user0391@example.com,71,Chicago,309.10
User0392,user0392@example.com,75,Philadelphia,454.14
User0393,user0393@example.com,50,Philadelphia,300.10
User0394,user0394@example.com,68,New York,198.22
User0395,user0395@example.com,51,New York,446.82
User0396,user0396@example.com,26,Los Angeles,353.72
User0397,user0397@example.com,52,Philadelphia,210.68
User0398,user0398@example.com,58,Houston,84.04
User0399,user0399@example.com,68,Chicago,461.48
User0400,user0400@example.com,50,Chicago,223.39
User0401,user0401@example.com,53,Chicago,466.19
User0402,user0402@example.com,39,Chicago,227.87
User0403,user0403@example.com,60,Chicago,428.65
User0404,user0404@example.com,43,Philadelphia,67.99
User0405,user0405@example.com,55,Los Angeles,61.92
User0406,user0406@example.com,28,Los Angeles,286.86
User0407,user0407@example.com,61,New York,209.81
User0408,user0408@example.com,19,Philadelphia,256.54
User0409,user0409@example.com,61,Houston,292.12
User0410,user0410@example.com,25,Philadelphia,281.87
User0411,user0411@example.com,32,Philadelphia,155.93
User0412,user0412@example.com,23,Houston,158.36
User0413,user0413@example.com,29,Los Angeles,204.79
User0414,user0414@example.com,67,Philadelphia,407.08
User0415,user0415@example.com,45,Phoenix,29.99
User0416,user0416@example.com,27,Phoenix,469.59
User0417,user0417@example.com,28,Phoenix,318.28
User0418,user0418@example.com,72,Houston,200.04
User0419,user0419@example.com,67,New York,19.95
User0420,user0420@example.com,63,Chicago,32.99
User0421,user0421@example.com,62,Houston,389.11
User0422,user0422@example.com,20,Phoenix,226.20
User0423,user0423@example.com,40,Phoenix,321.63
User0424,user0424@example.com,67,Chicago,348.29
User0425,user0425@example.com,57,Philadelphia,345.73
User0426,user0426@example.com,21,Phoenix,57.88
User0427,user0427@example.com,67,Los Angeles,229.12
User0428,user0428@example.com,63,Chicago,231.82
User0429,user0429@example.com,26,Houston,302.81
User0430,user0430@example.com,71,Philadelphia,405.13
User0431,user0431@example.com,51,Houston,334.19
User0432,user0432@example.com,22,Phoenix,25.85
User0433,user0433@example.com,45,Los Angeles,140.78
User0434,user0434@example.com,55,Los Angeles,21.57
User0435,user0435@example.com,18,Chicago,396.35
User0436,user0436@example.com,29,Houston,26.24
User0437,user0437@example.com,66,Philadelphia,161.70
User0438,user0438@example.com,43,Chicago,455.17
User0439,user0439@example.com,73,Phoenix,176.91
User0440,user0440@example.com,24,Philadelphia,141.22
User0441,user0441@example.com,27,Phoenix,15.15
User0442,user0442@example.com,46,Chicago,77.05
User0443,user0443@example.com,75,Chicago,180.95
User0444,user0444@example.com,62,Los Angeles,198.14
User0445,user0445@example.com,20,Los Angeles,452.80
User0446,user0446@example.com,57,Chicago,460.85
User0447,user0447@example.com,27,New York,467.03
User0448,user0448@example.com,33,New York,193.36
User0449,user0449@example.com,56,Houston,282.79
User0450,user0450@example.com,28,Phoenix,379.94
User0451,user0451@example.com,57,Phoenix,369.78
User0452,user0452@example.com,60,Houston,23.40
User0453,user0453@example.com,73,New York,44.95
User0454,user0454@example.com,67,Phoenix,328.54
User0455,user0455@example.com,30,Phoenix,23.76
User0456,user0456@example.com,46,Chicago,474.34
User0457,user0457@example.com,58,Philadelphia,234.59
User0458,user0458@example.com,55,Los Angeles,333.37
User0459,user0459@example.com,43,Los Angeles,426.48
User0460,user0460@example.com,55,Philadelphia,453.70
User0461,user0461@example.com,18,Los Angeles,90.34
User0462,user0462@example.com,35,Phoenix,89.04
User0463,user0463@example.com,61,Los Angeles,181.81
User0464,user0464@example.com,25,Philadelphia,131.32
User0465,user0465@example.com,26,Los Angeles,219.87
User0466,user0466@example.com,27,Philadelphia,217.21
User0467,user0467@example.com,68,Philadelphia,104.83
User0468,user0468@example.com,59,Houston,369.21
User0469,user0469@example.com,27,Houston,129.99
User0470,user0470@example.com,43,New York,201.46
User0471,user0471@example.com,50,Houston,114.42
User0472,user0472@example.com,18,Philadelphia,418.22
User0473,user0473@example.com,43,Los Angeles,291.67
User0474,user0474@example.com,30,New York,208.16
User0475,user0475@example.com,47,Phoenix,45.26
User0476,user0476@example.com,43,Philadelphia,243.67
User0477,user0477@example.com,74,Philadelphia,495.47
User0478,user0478@example.com,52,Phoenix,177.72
User0479,user0479@example.com,20,New York,439.10
User0480,user0480@example.com,49,Philadelphia,448.48
User0481,user0481@example.com,26,Houston,258.38
User0482,user0482@example.com,75,Houston,146.97
User0483,user0483@example.com,51,Phoenix,431.29
User0484,user0484@example.com,68,Los Angeles,221.00
User0485,user0485@example.com,35,Phoenix,454.92
User0486,user0486@example.com,20,Phoenix,342.74
User0487,user0487@example.com,23,Chicago,30.22
User0488,user0488@example.com,23,Chicago,137.20
User0489,user0489@example.com,42,Los Angeles,477.85
User0490,user0490@example.com,56,New York,142.63
User0491,user0491@example.com,44,Los Angeles,432.57
User0492,user0492@example.com,50,Phoenix,62.70
User0493,user0493@example.com,42,Houston,280.64
User0494,user0494@example.com,26,Los Angeles,431.81
User0495,user0495@example.com,38,New York,461.95
User0496,user0496@example.com,28,Philadelphia,423.10
User0497,user0497@example.com,18,New York,470.23
User0498,user0498@example.com,36,Philadelphia,184.29
User0499,user0499@example.com,34,Chicago,49.42
User0500,user0500@example.com,74,Phoenix,468.30
User0501,user0501@example.com,24,New York,279.33
User0502,user0502@example.com,75,Phoenix,21.92
User0503,user0503@example.com,46,Los Angeles,198.54
User0504,user0504@example.com,49,Chicago,249.70
User0505,user0505@example.com,44,Chicago,411.33
User0506,user0506@example.com,72,Chicago,350.66
User0507,user0507@example.com,55,Philadelphia,97.39
User0508,user0508@example.com,33,Philadelphia,210.09
User0509,user0509@example.com,69,Los Angeles,366.67
User0510,user0510@example.com,26,Houston,342.99
User0511,user0511@example.com,43,Phoenix,291.80
User0512,user0512@example.com,74,Phoenix,407.36
User0513,user0513@example.com,75,Phoenix,100.90
User0514,user0514@example.com,39,Chicago,435.06
User0515,user0515@example.com,39,Phoenix,104.60
User0516,user0516@example.com,54,Phoenix,42.58
User0517,user0517@example.com,73,Chicago,229.65
User0518,user0518@example.com,18,Phoenix,336.91
User0519,user0519@example.com,72,Houston,423.67
User0520,user0520@example.com,35,New York,237.27
User0521,user0521@example.com,29,Los Angeles,492.53
User0522,user0522@example.com,59,Chicago,86.14
User0523,user0523@example.com,48,New York,224.30
User0524,user0524@example.com,51,Houston,191.55
User0525,user0525@example.com,71,Los Angeles,37.24
User0526,user0526@example.com,47,Houston,30.42
User0527,user0527@example.com,35,New York,99.54
User0528,user0528@example.com,65,Chicago,185.81
User0529,user0529@example.com,60,Philadelphia,334.83
User0530,user0530@example.com,58,Philadelphia,398.46
User0531,user0531@example.com,22,Chicago,410.78
User0532,user0532@example.com,38,New York,398.07
User0533,user0533@example.com,20,Houston,66.49
User0534,user0534@example.com,45,Philadelphia,432.11
User0535,user0535@example.com,52,Los Angeles,126.94
User0536,user0536@example.com,74,Los Angeles,421.29
User0537,user0537@example.com,45,Los Angeles,279.18
User0538,user0538@example.com,23,Phoenix,83.44
User0539,user0539@example.com,35,Los Angeles,293.16
User0540,user0540@example.com,31,New York,88.83
User0541,user0541@example.com,31,Phoenix,267.17
User0542,user0542@example.com,61,Phoenix,47.09
User0543,user0543@example.com,39,Philadelphia,205.13
User0544,user0544@example.com,55,Philadelphia,13.40
User0545,user0545@example.com,48,Chicago,94.36
User0546,user0546@example.com,26,Philadelphia,446.50
User0547,user0547@example.com,55,Phoenix,163.99
User0548,user0548@example.com,18,Chicago,182.88
User0549,user0549@example.com,42,Philadelphia,274.76
User0550,user0550@example.com,53,New York,202.92
User0551,user0551@example.com,38,Houston,156.68
User0552,user0552@example.com,47,Houston,408.94
User0553,user0553@example.com,29,Chicago,297.33
User0554,user0554@example.com,31,Houston,145.94
User0555,user0555@example.com,33,Phoenix,45.16
User0556,user0556@example.com,75,Phoenix,65.78
User0557,user0557@example.com,52,Houston,302.38
User0558,user0558@example.com,18,New York,215.58
User0559,user0559@example.com,38,Phoenix,474.68
User0560,user0560@example.com,53,Houston,437.14
User0561,user0561@example.com,66,Chicago,110.06
User0562,user0562@example.com,71,Philadelphia,281.46
User0563,user0563@example.com,52,Philadelphia,53.25
User0564,user0564@example.com,64,Philadelphia,446.43
User0565,user0565@example.com,21,Phoenix,41.12
User0566,user0566@example.com,43,Los Angeles,261.50
User0567,user0567@example.com,57,Phoenix,333.05
User0568,user0568@example.com,63,Houston,285.65
User0569,user0569@example.com,49,Chicago,109.26
User0570,user0570@example.com,73,Phoenix,367.63
User0571,user0571@example.com,59,New York,88.47
User0572,user0572@example.com,24,New York,29.57
User0573,user0573@example.com,59,Philadelphia,147.59
User0574,user0574@example.com,31,Los Angeles,443.18
User0575,user0575@example.com,73,Phoenix,331.17
User0576,user0576@example.com,65,Houston,164.81
User0577,user0577@example.com,19,Chicago,42.40
User0578,user0578@example.com,50,Phoenix,375.67
User0579,user0579@example.com,21,Los Angeles,199.17
User0580,user0580@example.com,73,Houston,281.70
User0581,user0581@example.com,57,Phoenix,180.07
User0582,user0582@example.com,44,Philadelphia,350.25
User0583,user0583@example.com,25,Chicago,208.04
User0584,user0584@example.com,35,New York,73.22
User0585,user0585@example.com,70,Los Angeles,173.00
User0586,user0586@example.com,30,Los Angeles,55.87
User0587,user0587@example.com,37,Chicago,333.75
User0588,user0588@example.com,72,New York,265.35
User0589,user0589@example.com,24,Philadelphia,217.76
User0590,user0590@example.com,26,New York,221.36
User0591,user0591@example.com,67,Philadelphia,471.57
User0592,user0592@example.com,24,Houston,230.43
User0593,user0593@example.com,18,Phoenix,438.32
User0594,user0594@example.com,64,Phoenix,388.86
